change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;None;None;gneE0_2;0;None;None;None;None;45.38;keepRight;11.18;6.00;gneE0_1;DEFAULT_VEHTYPE
-1;23.54;7.25;gneE0_3;2;None;None;None;None;90.01;keepRight;16.84;11.00;gneE0_2;DEFAULT_VEHTYPE
-1;119.35;0.00;gneE0_1;0;None;None;None;None;173.73;keepRight;23.65;13.00;gneE0_0;DEFAULT_VEHTYPE
-1;83.32;20.29;gneE0_4;1;None;None;None;None;285.93;keepRight;27.57;19.00;gneE0_3;DEFAULT_VEHTYPE
-1;164.17;21.90;gneE0_2;2;None;None;None;None;346.03;keepRight;24.13;22.00;gneE0_1;DEFAULT_VEHTYPE
-1;None;None;gneE0_3;17;223.06;0.00;54.98;7.33;65.29;keepRight;15.28;26.00;gneE0_2;DEFAULT_VEHTYPE
-1;151.05;8.47;gneE0_3;10;88.94;13.83;200.19;0.00;277.38;keepRight;23.64;29.00;gneE0_2;DEFAULT_VEHTYPE
-1;88.53;5.58;gneE0_1;8;90.32;17.81;141.12;38.34;485.57;keepRight;26.11;34.00;gneE0_0;DEFAULT_VEHTYPE
-1;35.76;31.52;gneE0_3;1;None;None;None;None;730.59;keepRight;28.07;35.00;gneE0_2;DEFAULT_VEHTYPE
-1;200.47;6.30;gneE0_4;7;103.63;23.82;93.80;23.87;545.16;keepRight;28.06;35.00;gneE0_3;DEFAULT_VEHTYPE
-1;88.30;0.00;gneE0_3;21;96.38;11.10;159.36;25.47;175.33;keepRight;24.76;35.00;gneE0_2;DEFAULT_VEHTYPE
-1;144.14;10.16;gneE0_2;9;120.53;42.33;159.71;15.44;553.51;keepRight;26.45;36.00;gneE0_1;DEFAULT_VEHTYPE
-1;123.05;9.50;gneE0_4;20;112.60;13.27;95.52;7.01;247.19;keepRight;23.12;36.00;gneE0_3;DEFAULT_VEHTYPE
-1;29.14;23.18;gneE0_2;10;114.11;12.53;283.28;1.24;486.08;keepRight;23.65;38.00;gneE0_1;DEFAULT_VEHTYPE
-1;17.33;10.12;gneE0_3;24;88.80;5.70;128.83;15.81;184.67;keepRight;22.31;39.00;gneE0_2;DEFAULT_VEHTYPE
-1;27.82;20.72;gneE0_4;12;183.56;14.37;281.86;14.38;498.38;keepRight;25.89;40.00;gneE0_3;DEFAULT_VEHTYPE
-1;83.53;34.30;gneE0_4;23;100.98;10.23;209.57;0.75;235.76;keepRight;20.78;40.00;gneE0_3;DEFAULT_VEHTYPE
-1;28.59;21.49;gneE0_3;20;86.47;8.79;127.48;15.33;481.54;keepRight;23.61;46.00;gneE0_2;DEFAULT_VEHTYPE
-1;23.35;19.69;gneE0_3;23;81.67;15.96;249.05;9.43;384.32;keepRight;21.74;47.00;gneE0_2;DEFAULT_VEHTYPE
-1;98.16;0.00;gneE0_1;36;148.41;4.04;59.04;0.50;137.70;keepRight;22.19;49.00;gneE0_0;DEFAULT_VEHTYPE
-1;136.04;1.72;gneE0_2;1;None;None;None;None;1178.28;keepRight;28.42;51.00;gneE0_1;DEFAULT_VEHTYPE
-1;294.51;5.47;gneE0_3;7;135.69;19.22;102.10;28.31;1027.26;keepRight;28.74;52.00;gneE0_2;DEFAULT_VEHTYPE
