change_dir;change_followerGap;change_followerSecureGap;change_from;change_id;change_leaderGap;change_leaderSecureGap;change_origLeaderGap;change_origLeaderSecureGap;change_pos;change_reason;change_speed;change_time;change_to;change_type
-1;12.11;1.20;gneE0_1;0;None;None;None;None;48.50;keepRight;12.01;6.00;gneE0_0;DEFAULT_VEHTYPE
-1;22.62;0.00;gneE0_3;2;None;None;None;None;43.66;keepRight;11.03;8.00;gneE0_2;DEFAULT_VEHTYPE
-1;27.46;0.00;gneE0_2;3;None;None;41.14;0.00;42.12;keepRight;11.05;11.00;gneE0_1;DEFAULT_VEHTYPE
-1;61.01;15.63;gneE0_2;2;None;None;None;None;196.89;keepRight;23.96;16.00;gneE0_1;DEFAULT_VEHTYPE
-1;30.50;4.03;gneE0_1;2;93.53;7.94;None;None;436.83;keepRight;24.14;26.00;gneE0_0;DEFAULT_VEHTYPE
-1;45.25;41.87;gneE0_4;8;110.40;0.00;134.79;0.00;279.91;keepRight;23.69;26.00;gneE0_3;DEFAULT_VEHTYPE
-1;25.53;21.27;gneE0_3;15;97.03;3.17;101.95;7.05;198.41;keepRight;21.24;29.00;gneE0_2;DEFAULT_VEHTYPE
-1;24.59;16.62;gneE0_4;4;None;None;None;None;541.96;keepRight;30.57;30.00;gneE0_3;DEFAULT_VEHTYPE
-1;191.52;6.49;gneE0_3;5;None;None;27.66;22.61;570.56;keepRight;29.26;32.00;gneE0_2;DEFAULT_VEHTYPE
-1;34.74;22.12;gneE0_3;8;164.96;0.00;201.78;0.00;488.19;keepRight;23.71;35.00;gneE0_2;DEFAULT_VEHTYPE
-1;77.72;37.77;gneE0_2;15;73.69;13.54;121.93;12.97;344.81;keepRight;21.38;36.00;gneE0_1;DEFAULT_VEHTYPE
-1;160.78;44.40;gneE0_1;15;24.16;7.23;90.98;11.95;490.73;keepRight;20.64;43.00;gneE0_0;DEFAULT_VEHTYPE
-1;81.23;20.34;gneE0_2;8;53.92;9.84;219.84;0.00;695.75;keepRight;23.29;44.00;gneE0_1;DEFAULT_VEHTYPE
-1;98.43;18.73;gneE0_4;27;169.14;17.47;193.03;12.52;280.08;keepRight;25.95;45.00;gneE0_3;DEFAULT_VEHTYPE
-1;126.21;20.92;gneE0_4;14;95.32;5.86;None;None;702.87;keepRight;27.03;47.00;gneE0_3;DEFAULT_VEHTYPE
-1;44.91;13.70;gneE0_2;5;None;None;None;None;1125.86;keepRight;29.82;51.00;gneE0_1;DEFAULT_VEHTYPE
-1;76.96;1.64;gneE0_3;11;None;None;259.48;30.96;923.35;keepRight;30.25;51.00;gneE0_2;DEFAULT_VEHTYPE
-1;63.99;29.78;gneE0_3;35;61.27;5.25;116.56;0.00;223.16;keepRight;21.29;51.00;gneE0_2;DEFAULT_VEHTYPE
-1;260.43;24.31;gneE0_3;4;None;None;None;None;1218.78;keepRight;30.95;52.00;gneE0_2;DEFAULT_VEHTYPE
-1;41.73;9.88;gneE0_1;3;127.31;24.30;49.69;14.55;1130.08;keepRight;27.05;53.00;gneE0_0;DEFAULT_VEHTYPE
-1;126.27;8.96;gneE0_2;34;41.79;4.76;230.88;23.17;463.72;keepRight;25.10;58.00;gneE0_1;DEFAULT_VEHTYPE
-1;31.28;26.84;gneE0_2;35;89.99;3.40;325.87;1.47;368.72;keepRight;21.28;58.00;gneE0_1;DEFAULT_VEHTYPE
-1;30.38;21.64;gneE0_4;36;154.41;4.93;141.35;2.53;467.32;keepRight;24.77;61.00;gneE0_3;DEFAULT_VEHTYPE
-1;19.98;8.86;gneE0_2;10;82.31;28.23;122.79;4.02;1158.33;keepRight;26.48;63.00;gneE0_1;DEFAULT_VEHTYPE
-1;108.30;25.19;gneE0_1;35;114.43;7.62;114.51;8.17;515.03;keepRight;21.35;65.00;gneE0_0;DEFAULT_VEHTYPE
-1;258.62;0.00;gneE0_3;31;132.26;39.99;61.74;35.57;769.04;keepRight;27.93;66.00;gneE0_2;DEFAULT_VEHTYPE
-1;12.28;6.23;gneE0_1;19;68.97;30.34;135.16;26.38;1030.51;keepRight;24.23;68.00;gneE0_0;DEFAULT_VEHTYPE
-1;46.40;17.40;gneE0_3;38;231.41;2.81;30.34;27.95;675.01;keepRight;24.87;71.00;gneE0_2;DEFAULT_VEHTYPE
-1;30.45;23.75;gneE0_3;36;200.63;0.00;256.23;12.62;734.78;keepRight;24.44;72.00;gneE0_2;DEFAULT_VEHTYPE
-1;77.21;1.07;gneE0_2;11;179.72;32.46;274.15;27.41;1585.63;keepRight;30.05;73.00;gneE0_1;DEFAULT_VEHTYPE
-1;90.80;21.44;gneE0_2;4;None;None;None;None;1895.74;keepRight;30.96;74.00;gneE0_1;DEFAULT_VEHTYPE
-1;101.92;20.39;gneE0_3;18;35.43;22.64;158.70;22.35;1264.61;keepRight;26.00;74.00;gneE0_2;DEFAULT_VEHTYPE
-1;46.90;38.63;gneE0_3;27;56.71;31.20;173.54;28.58;1048.79;keepRight;26.17;74.00;gneE0_2;DEFAULT_VEHTYPE
-1;21.36;13.38;gneE0_2;37;157.16;20.16;49.16;22.57;693.29;keepRight;23.69;74.00;gneE0_1;DEFAULT_VEHTYPE
-1;19.21;6.97;gneE0_1;8;195.48;22.10;55.99;12.15;1410.63;keepRight;23.63;75.00;gneE0_0;DEFAULT_VEHTYPE
-1;117.97;26.59;gneE0_3;14;None;None;None;None;1481.09;keepRight;26.25;76.00;gneE0_2;DEFAULT_VEHTYPE
-1;40.65;37.68;gneE0_2;54;58.23;17.43;161.92;10.28;469.68;keepRight;24.77;79.00;gneE0_1;DEFAULT_VEHTYPE
-1;144.43;28.14;gneE0_3;56;217.65;7.02;165.67;0.00;413.95;keepRight;24.23;79.00;gneE0_2;DEFAULT_VEHTYPE
-1;27.60;24.21;gneE0_2;20;139.59;34.25;107.71;24.17;1331.11;keepRight;25.10;81.00;gneE0_1;DEFAULT_VEHTYPE
-1;79.79;18.69;gneE0_4;21;None;None;None;None;1533.01;keepRight;28.35;82.00;gneE0_3;DEFAULT_VEHTYPE
-1;92.20;19.71;gneE0_2;36;69.87;23.77;239.49;14.29;1026.43;keepRight;24.50;84.00;gneE0_1;DEFAULT_VEHTYPE
-1;25.42;7.14;gneE0_2;17;131.59;29.05;121.51;20.95;1622.04;keepRight;26.25;86.00;gneE0_1;DEFAULT_VEHTYPE
-1;76.57;15.93;gneE0_4;40;475.94;30.90;245.13;20.51;1076.90;keepRight;27.54;86.00;gneE0_3;DEFAULT_VEHTYPE
-1;171.95;54.90;gneE0_2;63;45.70;11.04;137.14;29.03;439.22;keepRight;24.65;86.00;gneE0_1;DEFAULT_VEHTYPE
-1;61.61;21.89;gneE0_2;67;8.48;0.00;327.58;28.96;248.79;keepRight;24.64;86.00;gneE0_1;DEFAULT_VEHTYPE
-1;20.03;9.71;gneE0_1;37;154.58;22.60;94.52;15.87;1024.01;keepRight;23.31;88.00;gneE0_0;DEFAULT_VEHTYPE
-1;249.55;17.22;gneE0_4;29;224.61;31.29;None;None;1412.02;keepRight;28.54;89.00;gneE0_3;DEFAULT_VEHTYPE
-1;26.19;20.60;gneE0_1;49;32.11;22.58;152.87;17.98;864.50;keepRight;23.49;91.00;gneE0_0;DEFAULT_VEHTYPE
-1;164.62;30.45;gneE0_3;68;268.65;36.78;95.00;4.68;451.48;keepRight;26.39;92.00;gneE0_2;DEFAULT_VEHTYPE
-1;109.24;9.93;gneE0_1;10;None;None;None;None;1941.04;keepRight;26.41;93.00;gneE0_0;DEFAULT_VEHTYPE
-1;457.91;0.00;gneE0_4;66;59.47;10.80;289.19;5.48;576.75;keepRight;27.24;95.00;gneE0_3;DEFAULT_VEHTYPE
-1;30.76;23.60;gneE0_3;47;69.70;41.15;103.33;43.26;1144.13;keepRight;28.05;96.00;gneE0_2;DEFAULT_VEHTYPE
-1;56.07;35.10;gneE0_2;56;24.65;21.53;285.20;12.16;845.13;keepRight;24.49;97.00;gneE0_1;DEFAULT_VEHTYPE
-1;14.18;1.63;gneE0_1;12;67.51;24.68;63.61;13.17;1869.93;keepRight;23.69;98.00;gneE0_0;DEFAULT_VEHTYPE
-1;188.28;21.58;gneE0_3;62;352.85;29.66;81.75;27.66;804.77;keepRight;27.63;98.00;gneE0_2;DEFAULT_VEHTYPE
-1;69.20;11.49;gneE0_3;40;234.85;28.66;266.96;18.08;1482.63;keepRight;26.99;101.00;gneE0_2;DEFAULT_VEHTYPE
-1;73.63;13.65;gneE0_4;55;185.82;29.67;None;None;1053.24;keepRight;30.33;101.00;gneE0_3;DEFAULT_VEHTYPE
-1;81.94;30.68;gneE0_3;59;263.30;28.56;82.25;11.14;1056.54;keepRight;27.19;104.00;gneE0_2;DEFAULT_VEHTYPE
-1;19.87;14.52;gneE0_1;34;65.26;43.07;176.13;20.75;1638.13;keepRight;24.86;106.00;gneE0_0;DEFAULT_VEHTYPE
-1;39.59;23.38;gneE0_3;66;150.75;22.64;104.89;12.51;979.95;keepRight;27.23;110.00;gneE0_2;DEFAULT_VEHTYPE
-1;329.33;3.88;gneE0_4;74;257.80;29.78;99.99;32.64;827.04;keepRight;29.69;110.00;gneE0_3;DEFAULT_VEHTYPE
-1;108.42;40.08;gneE0_1;94;83.11;0.00;119.58;0.00;279.37;keepRight;22.65;114.00;gneE0_0;DEFAULT_VEHTYPE
-1;25.44;20.90;gneE0_3;98;83.57;10.87;237.26;2.15;297.72;keepRight;22.64;118.00;gneE0_2;DEFAULT_VEHTYPE
-1;20.29;13.87;gneE0_1;104;91.18;0.00;136.21;0.00;203.53;keepRight;21.00;119.00;gneE0_0;DEFAULT_VEHTYPE
-1;87.07;5.74;gneE0_2;40;None;None;None;None;1994.86;keepRight;27.58;120.00;gneE0_1;DEFAULT_VEHTYPE
-1;34.93;18.51;gneE0_1;63;73.82;30.86;53.05;30.11;1392.63;keepRight;24.92;124.00;gneE0_0;DEFAULT_VEHTYPE
